difficulty_labels,CATEGORY,o4-mini,GPT-4o-mini,Llama-3.1-8B
High,biology,0.7224080267558528,0.6655518394648829,0.4782608695652174
High,business,0.6413793103448275,0.43448275862068964,0.35517241379310344
High,chemistry,0.638148667601683,0.3338008415147265,0.25245441795231416
High,computer science,0.64,0.44,0.3333333333333333
High,economics,0.6383561643835617,0.5397260273972603,0.40273972602739727
High,engineering,0.5663026521060842,0.296411856474259,0.30265210608424337
High,health,0.6591928251121076,0.57847533632287,0.39461883408071746
High,history,0.38860103626943004,0.5699481865284974,0.42487046632124353
High,law,0.45569620253164556,0.36075949367088606,0.22151898734177214
High,math,0.6569767441860465,0.37209302325581395,0.23255813953488372
High,other,0.6506849315068494,0.476027397260274,0.2705479452054795
High,philosophy,0.5164835164835165,0.43956043956043955,0.2967032967032967
High,physics,0.6676300578034682,0.3092485549132948,0.2254335260115607
High,psychology,0.6466876971608833,0.7097791798107256,0.4668769716088328
Low,biology,0.735632183908046,0.8735632183908046,0.5862068965517241
Low,business,0.6585365853658537,0.35365853658536583,0.17073170731707318
Low,chemistry,0.7735849056603774,0.5660377358490566,0.37735849056603776
Low,computer science,0.5942028985507246,0.4927536231884058,0.4057971014492754
Low,economics,0.6698113207547169,0.6792452830188679,0.4716981132075472
Low,engineering,0.696969696969697,0.3939393939393939,0.48484848484848486
Low,health,0.6794871794871795,0.5897435897435898,0.46794871794871795
Low,history,0.4888888888888889,0.6,0.4222222222222222
Low,law,0.5,0.47619047619047616,0.2857142857142857
Low,math,0.7250859106529209,0.3951890034364261,0.24398625429553264
Low,other,0.59375,0.640625,0.359375
Low,philosophy,0.48623853211009177,0.46788990825688076,0.3302752293577982
Low,physics,0.6545454545454545,0.6454545454545455,0.38181818181818183
Low,psychology,0.7160493827160493,0.7160493827160493,0.5061728395061729
Medium,biology,0.7749077490774908,0.7822878228782287,0.6125461254612546
Medium,business,0.6507537688442211,0.4020100502512563,0.27386934673366836
Medium,chemistry,0.6666666666666666,0.3790849673202614,0.3006535947712418
Medium,computer science,0.6335078534031413,0.4973821989528796,0.3193717277486911
Medium,economics,0.6624203821656051,0.7038216560509554,0.46496815286624205
Medium,engineering,0.5251141552511416,0.3424657534246575,0.2922374429223744
Medium,health,0.6712707182320442,0.6104972375690608,0.5
Medium,history,0.3238095238095238,0.5333333333333333,0.38412698412698415
Medium,law,0.4771505376344086,0.31048387096774194,0.2056451612903226
Medium,math,0.6937212863705973,0.3981623277182236,0.25114854517611024
Medium,other,0.6329787234042553,0.5159574468085106,0.3537234042553192
Medium,philosophy,0.5321888412017167,0.48497854077253216,0.31759656652360513
Medium,physics,0.6782608695652174,0.3847826086956522,0.2847826086956522
Medium,psychology,0.6480446927374302,0.664804469273743,0.44972067039106145
Very high,biology,0.6956521739130435,0.6521739130434783,0.5217391304347826
Very high,business,0.7,0.35,0.45
Very high,chemistry,0.6029411764705882,0.2647058823529412,0.3382352941176471
Very high,computer science,0.8333333333333334,0.4166666666666667,0.4166666666666667
Very high,economics,0.5507246376811594,0.37681159420289856,0.34782608695652173
Very high,engineering,0.6027397260273972,0.2876712328767123,0.3698630136986301
Very high,health,0.625,0.375,0.25
Very high,history,0.5,0.4,0.3
Very high,law,0.6666666666666666,0.6666666666666666,0.0
Very high,math,0.6363636363636364,0.2727272727272727,0.2727272727272727
Very high,other,0.45454545454545453,0.45454545454545453,0.2727272727272727
Very high,philosophy,0.2,0.2,0.2
Very high,physics,0.5588235294117647,0.47058823529411764,0.4117647058823529
Very high,psychology,0.7272727272727273,0.696969696969697,0.5454545454545454
Very low,biology,0.75,0.9166666666666666,0.75
Very low,business,0.8333333333333334,0.3333333333333333,0.5
Very low,chemistry,0.7142857142857143,0.14285714285714285,0.14285714285714285
Very low,computer science,0.6875,0.6875,0.25
Very low,economics,0.8421052631578947,0.7894736842105263,0.5263157894736842
Very low,engineering,1.0,0.6666666666666666,0.16666666666666666
Very low,health,0.5263157894736842,0.6842105263157895,0.3684210526315789
Very low,history,0.5,0.75,0.25
Very low,law,0.5,0.5,0.5
Very low,math,0.7433628318584071,0.46017699115044247,0.2920353982300885
Very low,other,0.6779661016949152,0.6610169491525424,0.559322033898305
Very low,philosophy,0.6363636363636364,0.6818181818181818,0.3181818181818182
Very low,physics,0.7857142857142857,0.7857142857142857,0.14285714285714285
Very low,psychology,0.46153846153846156,0.7692307692307693,0.6923076923076923
